y,m,d,Hijri_Date,Hijri_Month_Name,greg_dt,Day_EN,Weekday_AR
1446,5,11,11-05-1446,جماد الأول,2024-11-13,Wednesday,الأربعاء
1446,5,12,12-05-1446,جماد الأول,2024-11-14,Thursday,الخميس
1446,5,13,13-05-1446,جماد الأول,2024-11-15,Friday,الجمعة
1446,5,14,14-05-1446,جماد الأول,2024-11-16,Saturday,السبت
1446,5,15,15-05-1446,جماد الأول,2024-11-17,Sunday,الأحد
1446,5,16,16-05-1446,جماد الأول,2024-11-18,Monday,الاثنين
1446,5,17,17-05-1446,جماد الأول,2024-11-19,Tuesday,الثلاثاء
1446,5,18,18-05-1446,جماد الأول,2024-11-20,Wednesday,الأربعاء
1446,5,19,19-05-1446,جماد الأول,2024-11-21,Thursday,الخميس
1446,5,20,20-05-1446,جماد الأول,2024-11-22,Friday,الجمعة
1446,5,21,21-05-1446,جماد الأول,2024-11-23,Saturday,السبت
1446,5,22,22-05-1446,جماد الأول,2024-11-24,Sunday,الأحد
1446,5,23,23-05-1446,جماد الأول,2024-11-25,Monday,الاثنين
1446,5,24,24-05-1446,جماد الأول,2024-11-26,Tuesday,الثلاثاء
1446,5,25,25-05-1446,جماد الأول,2024-11-27,Wednesday,الأربعاء
1446,5,26,26-05-1446,جماد الأول,2024-11-28,Thursday,الخميس
1446,5,27,27-05-1446,جماد الأول,2024-11-29,Friday,الجمعة
1446,5,28,28-05-1446,جماد الأول,2024-11-30,Saturday,السبت
1446,5,29,29-05-1446,جماد الأول,2024-12-01,Sunday,الأحد
1446,6,1,01-06-1446,جماد الآخر,2024-12-02,Monday,الاثنين
1446,6,2,02-06-1446,جماد الآخر,2024-12-03,Tuesday,الثلاثاء
1446,6,3,03-06-1446,جماد الآخر,2024-12-04,Wednesday,الأربعاء
1446,6,4,04-06-1446,جماد الآخر,2024-12-05,Thursday,الخميس
1446,6,5,05-06-1446,جماد الآخر,2024-12-06,Friday,الجمعة
1446,6,6,06-06-1446,جماد الآخر,2024-12-07,Saturday,السبت
1446,6,7,07-06-1446,جماد الآخر,2024-12-08,Sunday,الأحد
1446,6,8,08-06-1446,جماد الآخر,2024-12-09,Monday,الاثنين
1446,6,9,09-06-1446,جماد الآخر,2024-12-10,Tuesday,الثلاثاء
1446,6,10,10-06-1446,جماد الآخر,2024-12-11,Wednesday,الأربعاء
1446,6,11,11-06-1446,جماد الآخر,2024-12-12,Thursday,الخميس
1446,6,12,12-06-1446,جماد الآخر,2024-12-13,Friday,الجمعة
1446,6,13,13-06-1446,جماد الآخر,2024-12-14,Saturday,السبت
1446,6,14,14-06-1446,جماد الآخر,2024-12-15,Sunday,الأحد
1446,6,15,15-06-1446,جماد الآخر,2024-12-16,Monday,الاثنين
1446,6,16,16-06-1446,جماد الآخر,2024-12-17,Tuesday,الثلاثاء
1446,6,17,17-06-1446,جماد الآخر,2024-12-18,Wednesday,الأربعاء
1446,6,18,18-06-1446,جماد الآخر,2024-12-19,Thursday,الخميس
1446,6,19,19-06-1446,جماد الآخر,2024-12-20,Friday,الجمعة
1446,6,20,20-06-1446,جماد الآخر,2024-12-21,Saturday,السبت
1446,6,21,21-06-1446,جماد الآخر,2024-12-22,Sunday,الأحد
1446,6,22,22-06-1446,جماد الآخر,2024-12-23,Monday,الاثنين
1446,6,23,23-06-1446,جماد الآخر,2024-12-24,Tuesday,الثلاثاء
1446,6,24,24-06-1446,جماد الآخر,2024-12-25,Wednesday,الأربعاء
1446,6,25,25-06-1446,جماد الآخر,2024-12-26,Thursday,الخميس
1446,6,26,26-06-1446,جماد الآخر,2024-12-27,Friday,الجمعة
1446,6,27,27-06-1446,جماد الآخر,2024-12-28,Saturday,السبت
1446,6,28,28-06-1446,جماد الآخر,2024-12-29,Sunday,الأحد
1446,6,29,29-06-1446,جماد الآخر,2024-12-30,Monday,الاثنين
1446,6,30,30-06-1446,جماد الآخر,2024-12-31,Tuesday,الثلاثاء
1446,7,1,01-07-1446,رجب,2025-01-01,Wednesday,الأربعاء
1446,7,2,02-07-1446,رجب,2025-01-02,Thursday,الخميس
1446,7,3,03-07-1446,رجب,2025-01-03,Friday,الجمعة
1446,7,4,04-07-1446,رجب,2025-01-04,Saturday,السبت
1446,7,5,05-07-1446,رجب,2025-01-05,Sunday,الأحد
1446,7,6,06-07-1446,رجب,2025-01-06,Monday,الاثنين
1446,7,7,07-07-1446,رجب,2025-01-07,Tuesday,الثلاثاء
1446,7,8,08-07-1446,رجب,2025-01-08,Wednesday,الأربعاء
1446,7,9,09-07-1446,رجب,2025-01-09,Thursday,الخميس
1446,7,10,10-07-1446,رجب,2025-01-10,Friday,الجمعة
1446,7,11,11-07-1446,رجب,2025-01-11,Saturday,السبت
1446,7,12,12-07-1446,رجب,2025-01-12,Sunday,الأحد
1446,7,13,13-07-1446,رجب,2025-01-13,Monday,الاثنين
1446,7,14,14-07-1446,رجب,2025-01-14,Tuesday,الثلاثاء
1446,7,15,15-07-1446,رجب,2025-01-15,Wednesday,الأربعاء
1446,7,16,16-07-1446,رجب,2025-01-16,Thursday,الخميس
1446,7,17,17-07-1446,رجب,2025-01-17,Friday,الجمعة
1446,7,18,18-07-1446,رجب,2025-01-18,Saturday,السبت
1446,7,19,19-07-1446,رجب,2025-01-19,Sunday,الأحد
1446,7,20,20-07-1446,رجب,2025-01-20,Monday,الاثنين
1446,7,21,21-07-1446,رجب,2025-01-21,Tuesday,الثلاثاء
1446,7,22,22-07-1446,رجب,2025-01-22,Wednesday,الأربعاء
1446,7,23,23-07-1446,رجب,2025-01-23,Thursday,الخميس
1446,7,24,24-07-1446,رجب,2025-01-24,Friday,الجمعة
1446,7,25,25-07-1446,رجب,2025-01-25,Saturday,السبت
1446,7,26,26-07-1446,رجب,2025-01-26,Sunday,الأحد
1446,7,27,27-07-1446,رجب,2025-01-27,Monday,الاثنين
